source_type,source_id,source_slug,locale,status,quality_score,machine_model
"scholarship_detail","7a932197-9ef0-4128-a6af-6a814ec64dd0","claudia-burton-scholarship-rd856xprkwqy","es","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","7a932197-9ef0-4128-a6af-6a814ec64dd0","claudia-burton-scholarship-rd856xprkwqy","fr","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","2e81e378-da40-4de5-92ad-388e036676f0","korean-american-scholarship-foundation-midwestern-regional-chapter-korean-american-scholarship-foun","es","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","2e81e378-da40-4de5-92ad-388e036676f0","korean-american-scholarship-foundation-midwestern-regional-chapter-korean-american-scholarship-foun","fr","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","db74ac66-d663-4b52-8aa3-d93ce3b019ca","chrystine-b-hamilton-tlh-kiwanis-northside-scholarship-1jtdncnlo4rx","es","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","db74ac66-d663-4b52-8aa3-d93ce3b019ca","chrystine-b-hamilton-tlh-kiwanis-northside-scholarship-1jtdncnlo4rx","fr","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","c3fdce14-0a1b-4661-a8e9-6f943b690715","brandon-m-king-scholarship-didsdmltyp4o","es","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","c3fdce14-0a1b-4661-a8e9-6f943b690715","brandon-m-king-scholarship-didsdmltyp4o","fr","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","5e4ac873-5ead-4640-a038-9f1707b2ebc0","dr-alice-nied-memorial-scholarship-wxbv4giceixh","es","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","5e4ac873-5ead-4640-a038-9f1707b2ebc0","dr-alice-nied-memorial-scholarship-wxbv4giceixh","fr","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
